58	320	67	152
56	327	70	141
51	333	72	140
47	337	76	141
48	337	77	142
54	329	82	146
57	323	80	143
63	316	81	138
74	312	75	138
80	306	71	139
88	300	68	139
99	295	61	139
116	285	61	140
128	281	62	138
147	278	66	135
166	272	60	138
187	267	62	141
248	271	71	130
270	271	75	129
301	266	72	130
321	254	75	138
335	248	76	141
360	241	74	141
377	239	72	141
394	236	69	138
410	226	64	140
424	222	59	138
445	219	55	137
449	219	56	133
449	216	59	134
444	215	65	139
433	224	62	136
422	231	73	135
422	237	75	134
420	245	75	134
424	250	76	137
430	258	73	136
441	266	72	137
452	271	69	135
458	271	73	133
463	265	74	134
467	264	72	136
485	264	64	136
491	268	64	134
506	270	63	138
520	279	63	133
530	281	64	131
542	277	60	134
554	260	53	138
554	252	53	133
550	248	56	131
543	250	54	130
526	255	56	132
522	257	55	130
517	259	55	130
513	258	55	130
507	253	57	130
497	249	58	129
495	249	56	131
492	249	54	131
489	250	54	129
484	248	56	131
470	251	57	130
460	253	59	127
448	255	59	125
439	256	61	125
434	255	58	125
432	255	59	124
434	255	59	123
445	253	58	123
457	254	54	121
459	252	54	122
453	251	53	123
438	249	55	125
420	249	57	127
400	251	58	126
384	252	57	128
361	256	53	126
342	259	53	125
325	258	56	127
306	259	59	128
287	259	64	127
265	259	66	127
247	255	71	130
231	256	73	129
217	258	73	128
209	258	74	128
196	258	74	127
188	256	75	131
181	256	73	131
175	258	73	130
172	259	73	128
170	260	72	128
169	260	71	127
168	261	71	128
167	262	72	128
168	262	72	128
169	263	71	128
169	263	71	129
166	264	70	131
163	264	74	130
160	264	76	131
160	265	78	131
163	263	76	134
167	263	72	136
171	262	69	137
175	262	67	139
182	259	66	143
204	250	91	152
207	248	92	156
209	246	84	157
208	244	79	160
204	244	69	159
189	245	75	157
183	249	74	152
177	248	76	154
188	251	65	151
188	258	59	141
180	262	56	136
170	264	59	134
163	261	63	137
161	263	60	133
157	263	60	132
153	264	61	133
152	265	59	134
154	264	59	133
153	264	58	135
155	265	61	133
160	264	61	132
162	264	64	133
169	263	61	133
172	263	62	132
175	264	62	133
180	261	61	134
180	260	61	135
182	260	59	136
181	259	59	136
181	258	59	138
173	259	59	137
165	258	62	138
155	257	62	138
147	257	63	139
137	257	63	141
120	257	66	140
111	257	65	142
102	257	65	141
94	258	67	142
88	258	69	141
85	258	65	143
84	257	60	143
84	258	59	143
83	257	63	142
83	256	66	143
89	255	69	144
91	254	74	143
94	254	76	145
100	255	76	145
104	254	75	144
107	254	74	144
111	254	72	144
111	254	73	144
111	253	73	146
108	252	73	149
102	251	72	150
98	251	71	151
93	251	68	151
87	252	66	150
81	252	66	151
77	253	61	150
73	254	59	147
65	254	63	147
59	256	69	146
58	257	69	148
58	255	69	150
58	255	69	150
57	243	71	165
56	245	71	159
54	248	70	153
47	244	70	159
33	236	80	170
16	225	94	183
14	223	83	196
10	221	89	190
9	221	87	189
8	221	85	186
5	222	84	187
5	225	82	180
3	222	81	182
0	217	81	194
0	219	78	192
0	221	75	193
0	221	73	194
0	220	70	194
69	250	70	149
67	253	66	143
67	254	64	144
65	254	64	147
63	256	64	141
63	257	63	143
55	257	68	142
65	257	61	147
67	259	59	143
73	261	56	138
76	262	57	135
78	262	58	136
30	254	89	145
30	227	106	176
34	213	115	208
39	218	116	204
46	214	116	203
57	211	107	209
65	212	103	211
69	212	107	212
72	218	113	205
87	237	106	184
102	256	97	162
135	254	75	151
152	259	68	132
165	263	73	126
184	264	69	128
193	264	73	126
204	264	76	126
216	265	72	125
247	262	64	125
260	245	65	141
270	243	71	144
283	250	77	138
296	247	81	141
317	251	83	136
341	254	75	136
362	252	68	139
378	252	66	137
397	251	84	137
416	246	69	143
426	241	73	146
433	237	81	149
441	234	88	154
449	236	81	153
459	233	79	153
471	233	71	153
482	245	66	140
487	246	70	138
488	246	73	139
539	258	57	124
545	257	58	122
550	257	58	122
555	254	56	124
560	254	59	125
563	255	70	124
566	256	72	121
569	258	76	120
570	260	79	119
574	262	76	117
579	262	73	116
583	262	69	116
589	260	63	118
598	258	55	118
601	255	54	121
606	254	55	120
610	254	58	121
615	254	63	121
618	255	66	120
621	255	65	120
623	257	63	119
626	258	63	118
628	257	63	119
632	256	61	120
635	256	61	120
637	255	62	121
639	255	64	121
641	254	66	122
644	253	66	123
646	253	66	122
649	253	67	123
654	252	67	122
656	251	68	123
656	251	71	121
657	250	72	122
656	252	74	121
653	254	81	119
650	255	85	119
644	257	88	118
642	257	87	119
638	258	83	120
630	259	75	120
623	259	74	121
618	259	71	120
615	260	67	120
611	262	64	120
603	260	65	120
600	261	65	120
592	261	67	121
589	262	66	121
585	261	68	122
579	263	71	122
576	262	72	123
573	263	74	123
572	264	74	123
572	265	74	122
573	265	73	123
574	266	72	122
574	267	72	122
574	266	73	122
575	267	73	122
578	268	71	122
580	268	71	122
584	270	70	121
589	271	69	119
591	273	67	119
599	272	77	121
608	273	78	119
617	271	80	122
626	266	74	126
634	261	67	131
643	258	57	134
647	258	54	133
652	256	52	136
648	257	57	135
648	257	58	133
644	259	64	130
644	257	67	132
643	257	69	131
642	258	71	130
638	258	76	130
627	259	72	128
628	257	75	129
617	260	80	126
617	260	77	126
616	262	71	125
616	262	63	126
620	263	61	126
623	265	61	123
625	267	56	122
622	266	57	123
627	267	55	123
628	266	54	124
562	263	52	128
560	263	56	128
560	263	56	127
561	262	56	127
562	262	59	129
563	263	61	127
564	264	64	127
567	265	66	127
569	268	69	127
571	269	75	126
576	270	75	125
579	270	82	126
663	270	58	125
669	270	59	128
675	271	59	130
680	271	60	129
681	271	61	129
691	270	59	130
697	270	56	131
642	272	66	126
653	271	59	129
696	269	59	130
690	265	62	131
663	265	64	129
666	260	78	133
661	260	93	132
656	260	93	131
653	261	89	131
646	259	85	133
646	260	79	133
642	264	72	130
643	265	70	128
645	261	67	132
649	262	68	133
653	263	67	132
654	260	69	134
648	258	80	136
654	268	87	125
666	272	85	117
673	277	86	112
680	277	87	111
686	278	88	112
692	275	89	114
701	271	85	119
721	269	72	118
737	264	63	124
750	251	59	137
759	255	59	132
768	256	61	130
773	255	65	132
775	255	75	130
776	255	83	130
777	253	88	133
777	253	91	134
776	254	89	133
774	254	90	133
772	254	88	133
772	253	84	133
771	251	83	132
773	249	82	135
776	248	76	135
680	253	58	125
679	253	59	125
680	255	59	125
680	258	60	124
680	259	61	123
686	260	58	123
690	261	56	122
697	262	54	122
701	262	51	120
702	261	51	121
704	261	51	122
702	260	54	124
699	258	56	124
691	256	62	126
685	254	66	127
686	255	66	128
688	252	65	129
691	251	63	129
690	253	63	127
684	256	65	124
678	256	66	124
667	260	70	121
663	260	73	122
658	261	77	122
653	263	74	121
654	264	73	122
650	264	67	123
646	264	57	121
650	261	59	123
651	258	61	126
654	257	61	126
657	257	66	127
659	257	65	129
660	260	65	126
667	257	62	127
668	257	63	126
678	258	55	127
688	261	46	123
691	266	45	118
687	271	49	112
693	266	47	117
694	263	45	120
692	281	45	102
695	278	43	104
683	272	52	110
677	268	54	114
669	264	53	120
664	262	49	121
649	268	49	115
637	265	52	118
625	273	56	110
615	268	58	115
604	271	60	112
589	269	67	115
584	272	65	110
577	271	66	111
575	260	65	121
573	259	67	123
574	258	66	123
576	258	64	122
581	257	61	123
589	257	58	125
594	250	60	133
605	253	59	129
614	254	56	127
619	261	56	121
623	256	57	127
628	259	55	123
634	258	53	125
635	253	55	130
636	256	53	127
637	256	52	127
640	257	46	126
638	259	47	125
631	263	48	121
625	262	49	120
617	268	49	115
608	266	49	116
596	265	52	119
591	264	51	120
586	263	51	120
579	263	54	120
573	263	58	119
564	262	66	119
563	262	69	119
562	261	76	119
562	263	81	118
562	266	85	115
564	268	89	113
567	270	89	110
570	275	90	105
573	276	94	103
579	276	97	106
586	279	99	103
588	278	104	104
589	278	107	104
590	278	105	105
589	276	104	108
588	269	94	113
581	268	88	112
561	261	89	123
556	260	85	123
550	260	83	122
525	256	90	127
524	257	78	127
524	263	70	123
522	261	67	126
531	262	56	125
525	263	52	124
520	263	52	125
519	262	50	128
517	263	51	128
516	264	52	124
519	264	55	124
519	266	55	120
520	269	57	115
522	272	56	112
522	276	58	110
523	278	59	108
523	278	61	106
522	277	63	106
521	276	63	106
517	277	68	105
504	279	80	104
498	277	81	106
491	271	83	113
475	260	76	129
430	244	74	149
436	236	78	153
437	239	77	153
445	238	78	153
445	235	74	154
444	240	75	156
444	240	73	157
444	242	71	156
442	250	69	150
447	253	63	147
442	247	69	154
403	265	60	124
397	270	59	119
388	273	63	116
381	271	69	118
368	274	74	114
352	260	78	127
343	266	78	115
333	255	77	126
316	252	75	130
288	246	79	146
161	280	90	118
152	283	72	115
141	283	72	117
129	283	77	118
120	283	83	117
116	282	85	116
107	282	91	117
99	282	94	118
92	281	96	121
89	282	88	120
87	283	79	118
90	282	69	121
89	279	67	123
87	278	67	124
84	274	69	127
74	273	75	128
66	273	81	127
62	273	83	128
55	276	85	126
